Name,Location
RCCG Grace Sanctuary 1472,"Asaba, Delta, Nigeria"
RCCG Grace Sanctuary 1473,"Kaduna, Kaduna, Nigeria"
RCCG Grace Sanctuary 1474,"Port Harcourt, Rivers, Nigeria"
RCCG Dominion Chapel 1475,"Port Harcourt, Rivers, Nigeria"
RCCG New Life Parish 1476,"Nassarawa, Kano, Nigeria"
RCCG Living Faith Parish 1477,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 1478,"Obio-Akpor, Rivers, Nigeria"
RCCG Living Faith Parish 1479,"Enugu, Enugu, Nigeria"
RCCG Victory Assembly 1480,"Kubwa, FCT, Nigeria"
RCCG Victory Assembly 1481,"Ijebu Ode, Ogun, Nigeria"
RCCG Power House Parish 1482,"Warri, Delta, Nigeria"
RCCG Living Faith Parish 1483,"Warri, Delta, Nigeria"
RCCG Redemption Parish 1484,"Ogbomosho, Oyo, Nigeria"
RCCG City of Glory 1485,"Obio-Akpor, Rivers, Nigeria"
RCCG City of Glory 1486,"Ogbomosho, Oyo, Nigeria"
RCCG Grace Sanctuary 1487,"Abeokuta, Ogun, Nigeria"
RCCG Living Faith Parish 1488,"Awka, Anambra, Nigeria"
RCCG Redemption Parish 1489,"Warri, Delta, Nigeria"
RCCG New Life Parish 1490,"Lekki, Lagos, Nigeria"
RCCG Living Faith Parish 1491,"Onitsha, Anambra, Nigeria"
RCCG Power House Parish 1492,"Maitama, FCT, Nigeria"
RCCG Redemption Parish 1493,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 1494,"Abuja, FCT, Nigeria"
RCCG City of Glory 1495,"Abeokuta, Ogun, Nigeria"
RCCG Living Faith Parish 1496,"Awka, Anambra, Nigeria"
RCCG Victory Assembly 1497,"Nsukka, Enugu, Nigeria"
RCCG Victory Assembly 1498,"Abeokuta, Ogun, Nigeria"
RCCG Power House Parish 1499,"Ijebu Ode, Ogun, Nigeria"
RCCG Power House Parish 1500,"Gwale, Kano, Nigeria"
RCCG Redemption Parish 1501,"Asaba, Delta, Nigeria"
RCCG Grace Sanctuary 1502,"Warri, Delta, Nigeria"
RCCG Victory Assembly 1503,"Abuja, FCT, Nigeria"
RCCG Redemption Parish 1504,"Asaba, Delta, Nigeria"
RCCG City of Glory 1505,"Port Harcourt, Rivers, Nigeria"
RCCG Dominion Chapel 1506,"Ibadan, Oyo, Nigeria"
RCCG Dominion Chapel 1507,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 1508,"Ibadan, Oyo, Nigeria"
RCCG New Life Parish 1509,"Ijebu Ode, Ogun, Nigeria"
RCCG Dominion Chapel 1510,"Kubwa, FCT, Nigeria"
RCCG Redemption Parish 1511,"Kubwa, FCT, Nigeria"
RCCG Victory Assembly 1512,"Onitsha, Anambra, Nigeria"
RCCG Dominion Chapel 1513,"Ogbomosho, Oyo, Nigeria"
RCCG Victory Assembly 1514,"Ikeja, Lagos, Nigeria"
RCCG City of Glory 1515,"Port Harcourt, Rivers, Nigeria"
RCCG City of Glory 1516,"Obio-Akpor, Rivers, Nigeria"
RCCG Victory Assembly 1517,"Maitama, FCT, Nigeria"
RCCG House of Praise 1518,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 1519,"Kaduna, Kaduna, Nigeria"
RCCG New Life Parish 1520,"Ogbomosho, Oyo, Nigeria"
RCCG City of Glory 1521,"Awka, Anambra, Nigeria"
RCCG Dominion Chapel 1522,"Ogbomosho, Oyo, Nigeria"
RCCG House of Praise 1523,"Onitsha, Anambra, Nigeria"
RCCG Living Faith Parish 1524,"Lekki, Lagos, Nigeria"
RCCG House of Praise 1525,"Ogbomosho, Oyo, Nigeria"
RCCG Victory Assembly 1526,"Nsukka, Enugu, Nigeria"
RCCG House of Praise 1527,"Zaria, Kaduna, Nigeria"
RCCG Living Faith Parish 1528,"Fagge, Kano, Nigeria"
RCCG House of Praise 1529,"Warri, Delta, Nigeria"
RCCG Dominion Chapel 1530,"Awka, Anambra, Nigeria"
RCCG Grace Sanctuary 1531,"Abeokuta, Ogun, Nigeria"
RCCG Power House Parish 1532,"Nassarawa, Kano, Nigeria"
RCCG Grace Sanctuary 1533,"Wuse, FCT, Nigeria"
RCCG House of Praise 1534,"Port Harcourt, Rivers, Nigeria"
RCCG City of Glory 1535,"Ijebu Ode, Ogun, Nigeria"
RCCG Grace Sanctuary 1536,"Ibadan, Oyo, Nigeria"
RCCG Redemption Parish 1537,"Abeokuta, Ogun, Nigeria"
RCCG Grace Sanctuary 1538,"Asaba, Delta, Nigeria"
RCCG Redemption Parish 1539,"Port Harcourt, Rivers, Nigeria"
RCCG New Life Parish 1540,"Kubwa, FCT, Nigeria"
RCCG Living Faith Parish 1541,"Awka, Anambra, Nigeria"
RCCG Victory Assembly 1542,"Awka, Anambra, Nigeria"
RCCG Redemption Parish 1543,"Asaba, Delta, Nigeria"
RCCG City of Glory 1544,"Warri, Delta, Nigeria"
RCCG Grace Sanctuary 1545,"Enugu, Enugu, Nigeria"
RCCG Redemption Parish 1546,"Ikeja, Lagos, Nigeria"
RCCG Living Faith Parish 1547,"Obio-Akpor, Rivers, Nigeria"
RCCG House of Praise 1548,"Obio-Akpor, Rivers, Nigeria"
RCCG Living Faith Parish 1549,"Asaba, Delta, Nigeria"
RCCG City of Glory 1550,"Kano, Kano, Nigeria"
RCCG Living Faith Parish 1551,"Kano, Kano, Nigeria"
RCCG New Life Parish 1552,"Nassarawa, Kano, Nigeria"
RCCG Living Faith Parish 1553,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 1554,"Ibadan, Oyo, Nigeria"
RCCG City of Glory 1555,"Ijebu Ode, Ogun, Nigeria"
RCCG Grace Sanctuary 1556,"Kaduna, Kaduna, Nigeria"
RCCG Redemption Parish 1557,"Awka, Anambra, Nigeria"
RCCG Grace Sanctuary 1558,"Surulere, Lagos, Nigeria"
RCCG Grace Sanctuary 1559,"Ijebu Ode, Ogun, Nigeria"
RCCG Dominion Chapel 1560,"Kaduna, Kaduna, Nigeria"
RCCG Redemption Parish 1561,"Lekki, Lagos, Nigeria"
RCCG City of Glory 1562,"Onitsha, Anambra, Nigeria"
RCCG New Life Parish 1563,"Zaria, Kaduna, Nigeria"
RCCG Dominion Chapel 1564,"Asaba, Delta, Nigeria"
RCCG Redemption Parish 1565,"Fagge, Kano, Nigeria"
RCCG Dominion Chapel 1566,"Awka, Anambra, Nigeria"
RCCG Dominion Chapel 1567,"Onitsha, Anambra, Nigeria"
RCCG Dominion Chapel 1568,"Ibadan, Oyo, Nigeria"
RCCG Power House Parish 1569,"Kano, Kano, Nigeria"
RCCG Power House Parish 1570,"Asaba, Delta, Nigeria"
RCCG Living Faith Parish 1571,"Kubwa, FCT, Nigeria"
RCCG Grace Sanctuary 1572,"Gwale, Kano, Nigeria"
RCCG Grace Sanctuary 1573,"Enugu, Enugu, Nigeria"
RCCG Power House Parish 1574,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 1575,"Kaduna, Kaduna, Nigeria"
RCCG Redemption Parish 1576,"Ikeja, Lagos, Nigeria"
RCCG Power House Parish 1577,"Awka, Anambra, Nigeria"
RCCG Power House Parish 1578,"Lekki, Lagos, Nigeria"
RCCG House of Praise 1579,"Enugu, Enugu, Nigeria"
RCCG Dominion Chapel 1580,"Warri, Delta, Nigeria"
RCCG Victory Assembly 1581,"Onitsha, Anambra, Nigeria"
RCCG Living Faith Parish 1582,"Fagge, Kano, Nigeria"
RCCG Redemption Parish 1583,"Awka, Anambra, Nigeria"
RCCG Grace Sanctuary 1584,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 1585,"Ogbomosho, Oyo, Nigeria"
RCCG Redemption Parish 1586,"Yaba, Lagos, Nigeria"
RCCG Dominion Chapel 1587,"Ogbomosho, Oyo, Nigeria"
RCCG Victory Assembly 1588,"Asaba, Delta, Nigeria"
RCCG Redemption Parish 1589,"Kaduna, Kaduna, Nigeria"
RCCG Power House Parish 1590,"Surulere, Lagos, Nigeria"
RCCG Victory Assembly 1591,"Ogbomosho, Oyo, Nigeria"
RCCG New Life Parish 1592,"Kano, Kano, Nigeria"
RCCG Dominion Chapel 1593,"Awka, Anambra, Nigeria"
RCCG House of Praise 1594,"Onitsha, Anambra, Nigeria"
RCCG Power House Parish 1595,"Zaria, Kaduna, Nigeria"
RCCG House of Praise 1596,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 1597,"Fagge, Kano, Nigeria"
RCCG Redemption Parish 1598,"Ikeja, Lagos, Nigeria"
RCCG Dominion Chapel 1599,"Obio-Akpor, Rivers, Nigeria"
RCCG Power House Parish 1600,"Gwale, Kano, Nigeria"
RCCG Living Faith Parish 1601,"Gwale, Kano, Nigeria"
RCCG New Life Parish 1602,"Gwarinpa, FCT, Nigeria"
RCCG New Life Parish 1603,"Surulere, Lagos, Nigeria"
RCCG City of Glory 1604,"Abeokuta, Ogun, Nigeria"
RCCG Power House Parish 1605,"Abeokuta, Ogun, Nigeria"
RCCG Power House Parish 1606,"Warri, Delta, Nigeria"
RCCG House of Praise 1607,"Warri, Delta, Nigeria"
RCCG House of Praise 1608,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 1609,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 1610,"Ibadan, Oyo, Nigeria"
RCCG New Life Parish 1611,"Zaria, Kaduna, Nigeria"
RCCG City of Glory 1612,"Ijebu Ode, Ogun, Nigeria"
RCCG House of Praise 1613,"Kubwa, FCT, Nigeria"
RCCG Dominion Chapel 1614,"Onitsha, Anambra, Nigeria"
RCCG Victory Assembly 1615,"Ijebu Ode, Ogun, Nigeria"
RCCG Power House Parish 1616,"Gwarinpa, FCT, Nigeria"
RCCG Redemption Parish 1617,"Gwale, Kano, Nigeria"
RCCG Grace Sanctuary 1618,"Zaria, Kaduna, Nigeria"
RCCG Redemption Parish 1619,"Asaba, Delta, Nigeria"
RCCG Living Faith Parish 1620,"Port Harcourt, Rivers, Nigeria"
RCCG Dominion Chapel 1621,"Ibadan, Oyo, Nigeria"
RCCG Redemption Parish 1622,"Kaduna, Kaduna, Nigeria"
RCCG Living Faith Parish 1623,"Ikeja, Lagos, Nigeria"
RCCG Dominion Chapel 1624,"Zaria, Kaduna, Nigeria"
RCCG New Life Parish 1625,"Gwale, Kano, Nigeria"
RCCG Living Faith Parish 1626,"Ogbomosho, Oyo, Nigeria"
RCCG New Life Parish 1627,"Wuse, FCT, Nigeria"
RCCG Grace Sanctuary 1628,"Ogbomosho, Oyo, Nigeria"
RCCG New Life Parish 1629,"Yaba, Lagos, Nigeria"
RCCG Power House Parish 1630,"Ijebu Ode, Ogun, Nigeria"
RCCG Victory Assembly 1631,"Kaduna, Kaduna, Nigeria"
RCCG City of Glory 1632,"Gwarinpa, FCT, Nigeria"
RCCG Living Faith Parish 1633,"Ibadan, Oyo, Nigeria"
RCCG House of Praise 1634,"Fagge, Kano, Nigeria"
RCCG Victory Assembly 1635,"Nassarawa, Kano, Nigeria"
RCCG New Life Parish 1636,"Warri, Delta, Nigeria"
RCCG House of Praise 1637,"Abeokuta, Ogun, Nigeria"
RCCG Redemption Parish 1638,"Asaba, Delta, Nigeria"
RCCG City of Glory 1639,"Ibadan, Oyo, Nigeria"
RCCG Victory Assembly 1640,"Kubwa, FCT, Nigeria"
RCCG Grace Sanctuary 1641,"Kubwa, FCT, Nigeria"
RCCG House of Praise 1642,"Ogbomosho, Oyo, Nigeria"
RCCG New Life Parish 1643,"Yaba, Lagos, Nigeria"
RCCG Dominion Chapel 1644,"Ibadan, Oyo, Nigeria"
RCCG House of Praise 1645,"Nsukka, Enugu, Nigeria"
RCCG Living Faith Parish 1646,"Maitama, FCT, Nigeria"
RCCG Grace Sanctuary 1647,"Asaba, Delta, Nigeria"
RCCG Dominion Chapel 1648,"Awka, Anambra, Nigeria"
RCCG Dominion Chapel 1649,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 1650,"Yaba, Lagos, Nigeria"
RCCG Redemption Parish 1651,"Ikeja, Lagos, Nigeria"
RCCG Power House Parish 1652,"Warri, Delta, Nigeria"
RCCG City of Glory 1653,"Zaria, Kaduna, Nigeria"
RCCG City of Glory 1654,"Nassarawa, Kano, Nigeria"
RCCG Grace Sanctuary 1655,"Nsukka, Enugu, Nigeria"
RCCG Victory Assembly 1656,"Onitsha, Anambra, Nigeria"
RCCG New Life Parish 1657,"Awka, Anambra, Nigeria"
RCCG Power House Parish 1658,"Awka, Anambra, Nigeria"
RCCG City of Glory 1659,"Obio-Akpor, Rivers, Nigeria"
RCCG Grace Sanctuary 1660,"Kano, Kano, Nigeria"
RCCG Dominion Chapel 1661,"Onitsha, Anambra, Nigeria"
RCCG Living Faith Parish 1662,"Maitama, FCT, Nigeria"
RCCG Grace Sanctuary 1663,"Obio-Akpor, Rivers, Nigeria"
RCCG Living Faith Parish 1664,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 1665,"Warri, Delta, Nigeria"
RCCG House of Praise 1666,"Nsukka, Enugu, Nigeria"
RCCG Redemption Parish 1667,"Ibadan, Oyo, Nigeria"
RCCG New Life Parish 1668,"Abuja, FCT, Nigeria"
RCCG Redemption Parish 1669,"Ijebu Ode, Ogun, Nigeria"
RCCG Dominion Chapel 1670,"Awka, Anambra, Nigeria"
RCCG Redemption Parish 1671,"Asaba, Delta, Nigeria"
RCCG House of Praise 1672,"Awka, Anambra, Nigeria"
RCCG Power House Parish 1673,"Abuja, FCT, Nigeria"
RCCG Redemption Parish 1674,"Ogbomosho, Oyo, Nigeria"
RCCG Grace Sanctuary 1675,"Kano, Kano, Nigeria"
RCCG City of Glory 1676,"Fagge, Kano, Nigeria"
RCCG Living Faith Parish 1677,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 1678,"Asaba, Delta, Nigeria"
RCCG Power House Parish 1679,"Awka, Anambra, Nigeria"
RCCG Grace Sanctuary 1680,"Kano, Kano, Nigeria"
RCCG City of Glory 1681,"Awka, Anambra, Nigeria"
RCCG New Life Parish 1682,"Ogbomosho, Oyo, Nigeria"
RCCG Living Faith Parish 1683,"Awka, Anambra, Nigeria"
RCCG Power House Parish 1684,"Abeokuta, Ogun, Nigeria"
RCCG City of Glory 1685,"Ijebu Ode, Ogun, Nigeria"
RCCG Living Faith Parish 1686,"Ogbomosho, Oyo, Nigeria"
RCCG Grace Sanctuary 1687,"Warri, Delta, Nigeria"
RCCG Grace Sanctuary 1688,"Kano, Kano, Nigeria"
RCCG Grace Sanctuary 1689,"Zaria, Kaduna, Nigeria"
RCCG House of Praise 1690,"Nassarawa, Kano, Nigeria"
RCCG Power House Parish 1691,"Abeokuta, Ogun, Nigeria"
RCCG Victory Assembly 1692,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 1693,"Warri, Delta, Nigeria"
RCCG Grace Sanctuary 1694,"Surulere, Lagos, Nigeria"
RCCG City of Glory 1695,"Yaba, Lagos, Nigeria"
RCCG Grace Sanctuary 1696,"Gwale, Kano, Nigeria"
RCCG Living Faith Parish 1697,"Nsukka, Enugu, Nigeria"
RCCG New Life Parish 1698,"Gwarinpa, FCT, Nigeria"
RCCG City of Glory 1699,"Ijebu Ode, Ogun, Nigeria"
RCCG House of Praise 1700,"Onitsha, Anambra, Nigeria"
RCCG House of Praise 1701,"Kaduna, Kaduna, Nigeria"
RCCG House of Praise 1702,"Abuja, FCT, Nigeria"
RCCG Power House Parish 1703,"Port Harcourt, Rivers, Nigeria"
RCCG New Life Parish 1704,"Gwale, Kano, Nigeria"
RCCG Victory Assembly 1705,"Ibadan, Oyo, Nigeria"
RCCG Redemption Parish 1706,"Awka, Anambra, Nigeria"
RCCG Redemption Parish 1707,"Asaba, Delta, Nigeria"
RCCG City of Glory 1708,"Onitsha, Anambra, Nigeria"
RCCG New Life Parish 1709,"Asaba, Delta, Nigeria"
RCCG Redemption Parish 1710,"Kaduna, Kaduna, Nigeria"
RCCG Dominion Chapel 1711,"Ibadan, Oyo, Nigeria"
RCCG Dominion Chapel 1712,"Nassarawa, Kano, Nigeria"
RCCG Living Faith Parish 1713,"Lekki, Lagos, Nigeria"
RCCG Dominion Chapel 1714,"Kaduna, Kaduna, Nigeria"
RCCG City of Glory 1715,"Yaba, Lagos, Nigeria"
RCCG Living Faith Parish 1716,"Asaba, Delta, Nigeria"
RCCG City of Glory 1717,"Nassarawa, Kano, Nigeria"
RCCG New Life Parish 1718,"Ogbomosho, Oyo, Nigeria"
RCCG House of Praise 1719,"Obio-Akpor, Rivers, Nigeria"
RCCG Victory Assembly 1720,"Warri, Delta, Nigeria"
RCCG Living Faith Parish 1721,"Ikorodu, Lagos, Nigeria"
RCCG Living Faith Parish 1722,"Nassarawa, Kano, Nigeria"
RCCG Grace Sanctuary 1723,"Warri, Delta, Nigeria"
RCCG House of Praise 1724,"Enugu, Enugu, Nigeria"
RCCG Grace Sanctuary 1725,"Onitsha, Anambra, Nigeria"
RCCG Dominion Chapel 1726,"Onitsha, Anambra, Nigeria"
RCCG Redemption Parish 1727,"Nassarawa, Kano, Nigeria"
RCCG Living Faith Parish 1728,"Port Harcourt, Rivers, Nigeria"
RCCG Living Faith Parish 1729,"Ikeja, Lagos, Nigeria"
RCCG Grace Sanctuary 1730,"Maitama, FCT, Nigeria"
RCCG Living Faith Parish 1731,"Ogbomosho, Oyo, Nigeria"
RCCG City of Glory 1732,"Zaria, Kaduna, Nigeria"
RCCG Dominion Chapel 1733,"Fagge, Kano, Nigeria"
RCCG Power House Parish 1734,"Fagge, Kano, Nigeria"
RCCG Grace Sanctuary 1735,"Ibadan, Oyo, Nigeria"
RCCG Power House Parish 1736,"Yaba, Lagos, Nigeria"
RCCG City of Glory 1737,"Yaba, Lagos, Nigeria"
RCCG Power House Parish 1738,"Awka, Anambra, Nigeria"
RCCG City of Glory 1739,"Maitama, FCT, Nigeria"
RCCG New Life Parish 1740,"Ikeja, Lagos, Nigeria"
RCCG Power House Parish 1741,"Kano, Kano, Nigeria"
RCCG Power House Parish 1742,"Awka, Anambra, Nigeria"
RCCG City of Glory 1743,"Nsukka, Enugu, Nigeria"
RCCG Redemption Parish 1744,"Ijebu Ode, Ogun, Nigeria"
RCCG New Life Parish 1745,"Asaba, Delta, Nigeria"
RCCG Victory Assembly 1746,"Obio-Akpor, Rivers, Nigeria"
RCCG Power House Parish 1747,"Ibadan, Oyo, Nigeria"
RCCG Dominion Chapel 1748,"Nsukka, Enugu, Nigeria"
RCCG House of Praise 1749,"Gwale, Kano, Nigeria"
RCCG Living Faith Parish 1750,"Awka, Anambra, Nigeria"
RCCG City of Glory 1751,"Ibadan, Oyo, Nigeria"
RCCG Victory Assembly 1752,"Awka, Anambra, Nigeria"
RCCG City of Glory 1753,"Wuse, FCT, Nigeria"
RCCG Dominion Chapel 1754,"Enugu, Enugu, Nigeria"
RCCG Power House Parish 1755,"Ogbomosho, Oyo, Nigeria"
RCCG Power House Parish 1756,"Lekki, Lagos, Nigeria"
RCCG House of Praise 1757,"Yaba, Lagos, Nigeria"
RCCG City of Glory 1758,"Ikeja, Lagos, Nigeria"
RCCG Power House Parish 1759,"Kubwa, FCT, Nigeria"
RCCG Dominion Chapel 1760,"Nassarawa, Kano, Nigeria"
RCCG Power House Parish 1761,"Zaria, Kaduna, Nigeria"
RCCG Dominion Chapel 1762,"Yaba, Lagos, Nigeria"
RCCG Victory Assembly 1763,"Obio-Akpor, Rivers, Nigeria"
RCCG House of Praise 1764,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 1765,"Lekki, Lagos, Nigeria"
RCCG New Life Parish 1766,"Warri, Delta, Nigeria"
RCCG Dominion Chapel 1767,"Enugu, Enugu, Nigeria"
RCCG House of Praise 1768,"Ikeja, Lagos, Nigeria"
RCCG Grace Sanctuary 1769,"Obio-Akpor, Rivers, Nigeria"
RCCG Living Faith Parish 1770,"Nassarawa, Kano, Nigeria"
RCCG Living Faith Parish 1771,"Port Harcourt, Rivers, Nigeria"
RCCG Grace Sanctuary 1772,"Lekki, Lagos, Nigeria"
RCCG Living Faith Parish 1773,"Abeokuta, Ogun, Nigeria"
RCCG Grace Sanctuary 1774,"Obio-Akpor, Rivers, Nigeria"
RCCG Victory Assembly 1775,"Obio-Akpor, Rivers, Nigeria"
RCCG New Life Parish 1776,"Ikeja, Lagos, Nigeria"
RCCG Living Faith Parish 1777,"Enugu, Enugu, Nigeria"
RCCG Power House Parish 1778,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 1779,"Awka, Anambra, Nigeria"
RCCG House of Praise 1780,"Kubwa, FCT, Nigeria"
RCCG Victory Assembly 1781,"Awka, Anambra, Nigeria"
RCCG House of Praise 1782,"Enugu, Enugu, Nigeria"
RCCG New Life Parish 1783,"Fagge, Kano, Nigeria"
RCCG Power House Parish 1784,"Ibadan, Oyo, Nigeria"
RCCG New Life Parish 1785,"Ibadan, Oyo, Nigeria"
RCCG Victory Assembly 1786,"Abeokuta, Ogun, Nigeria"
RCCG Power House Parish 1787,"Awka, Anambra, Nigeria"
RCCG Redemption Parish 1788,"Ikorodu, Lagos, Nigeria"
RCCG Victory Assembly 1789,"Kaduna, Kaduna, Nigeria"
RCCG New Life Parish 1790,"Ogbomosho, Oyo, Nigeria"
RCCG Redemption Parish 1791,"Port Harcourt, Rivers, Nigeria"
RCCG Grace Sanctuary 1792,"Zaria, Kaduna, Nigeria"
RCCG Grace Sanctuary 1793,"Port Harcourt, Rivers, Nigeria"
RCCG House of Praise 1794,"Ibadan, Oyo, Nigeria"
RCCG House of Praise 1795,"Zaria, Kaduna, Nigeria"
RCCG New Life Parish 1796,"Port Harcourt, Rivers, Nigeria"
RCCG City of Glory 1797,"Ibadan, Oyo, Nigeria"
RCCG Grace Sanctuary 1798,"Warri, Delta, Nigeria"
RCCG Power House Parish 1799,"Gwale, Kano, Nigeria"
RCCG Victory Assembly 1800,"Ijebu Ode, Ogun, Nigeria"
RCCG Dominion Chapel 1801,"Enugu, Enugu, Nigeria"
RCCG New Life Parish 1802,"Abeokuta, Ogun, Nigeria"
RCCG New Life Parish 1803,"Ijebu Ode, Ogun, Nigeria"
RCCG Redemption Parish 1804,"Zaria, Kaduna, Nigeria"
RCCG City of Glory 1805,"Gwarinpa, FCT, Nigeria"
RCCG New Life Parish 1806,"Ijebu Ode, Ogun, Nigeria"
RCCG Power House Parish 1807,"Abeokuta, Ogun, Nigeria"
RCCG House of Praise 1808,"Nsukka, Enugu, Nigeria"
RCCG Victory Assembly 1809,"Ogbomosho, Oyo, Nigeria"
RCCG Victory Assembly 1810,"Fagge, Kano, Nigeria"
RCCG Dominion Chapel 1811,"Awka, Anambra, Nigeria"
RCCG Grace Sanctuary 1812,"Ijebu Ode, Ogun, Nigeria"
RCCG House of Praise 1813,"Ikorodu, Lagos, Nigeria"
RCCG New Life Parish 1814,"Kubwa, FCT, Nigeria"
RCCG Living Faith Parish 1815,"Fagge, Kano, Nigeria"
RCCG Grace Sanctuary 1816,"Kano, Kano, Nigeria"
RCCG Power House Parish 1817,"Warri, Delta, Nigeria"
RCCG Living Faith Parish 1818,"Nsukka, Enugu, Nigeria"
RCCG Dominion Chapel 1819,"Wuse, FCT, Nigeria"
RCCG New Life Parish 1820,"Fagge, Kano, Nigeria"
RCCG Redemption Parish 1821,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 1822,"Obio-Akpor, Rivers, Nigeria"
RCCG Dominion Chapel 1823,"Ogbomosho, Oyo, Nigeria"
RCCG Dominion Chapel 1824,"Ikorodu, Lagos, Nigeria"
RCCG Victory Assembly 1825,"Abeokuta, Ogun, Nigeria"
RCCG Grace Sanctuary 1826,"Surulere, Lagos, Nigeria"
RCCG City of Glory 1827,"Zaria, Kaduna, Nigeria"
RCCG City of Glory 1828,"Ogbomosho, Oyo, Nigeria"
RCCG Power House Parish 1829,"Onitsha, Anambra, Nigeria"
RCCG House of Praise 1830,"Ogbomosho, Oyo, Nigeria"
RCCG Victory Assembly 1831,"Awka, Anambra, Nigeria"
RCCG Dominion Chapel 1832,"Onitsha, Anambra, Nigeria"
RCCG New Life Parish 1833,"Warri, Delta, Nigeria"
RCCG Dominion Chapel 1834,"Obio-Akpor, Rivers, Nigeria"
RCCG New Life Parish 1835,"Nassarawa, Kano, Nigeria"
RCCG City of Glory 1836,"Onitsha, Anambra, Nigeria"
RCCG Dominion Chapel 1837,"Nsukka, Enugu, Nigeria"
RCCG Dominion Chapel 1838,"Zaria, Kaduna, Nigeria"
RCCG New Life Parish 1839,"Gwale, Kano, Nigeria"
RCCG Redemption Parish 1840,"Ogbomosho, Oyo, Nigeria"
RCCG Victory Assembly 1841,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 1842,"Nsukka, Enugu, Nigeria"
RCCG Dominion Chapel 1843,"Kaduna, Kaduna, Nigeria"
RCCG Redemption Parish 1844,"Gwale, Kano, Nigeria"
RCCG New Life Parish 1845,"Wuse, FCT, Nigeria"
RCCG Grace Sanctuary 1846,"Kano, Kano, Nigeria"
RCCG Victory Assembly 1847,"Nsukka, Enugu, Nigeria"
RCCG Victory Assembly 1848,"Awka, Anambra, Nigeria"
RCCG Dominion Chapel 1849,"Kaduna, Kaduna, Nigeria"
RCCG Power House Parish 1850,"Port Harcourt, Rivers, Nigeria"
RCCG Living Faith Parish 1851,"Ikorodu, Lagos, Nigeria"
RCCG Victory Assembly 1852,"Ikeja, Lagos, Nigeria"
RCCG New Life Parish 1853,"Ikeja, Lagos, Nigeria"
RCCG City of Glory 1854,"Kano, Kano, Nigeria"
RCCG House of Praise 1855,"Nsukka, Enugu, Nigeria"
RCCG Dominion Chapel 1856,"Ibadan, Oyo, Nigeria"
RCCG Living Faith Parish 1857,"Ijebu Ode, Ogun, Nigeria"
RCCG Grace Sanctuary 1858,"Asaba, Delta, Nigeria"
RCCG Dominion Chapel 1859,"Asaba, Delta, Nigeria"
RCCG Power House Parish 1860,"Warri, Delta, Nigeria"
RCCG Redemption Parish 1861,"Kano, Kano, Nigeria"
RCCG Grace Sanctuary 1862,"Fagge, Kano, Nigeria"
RCCG Power House Parish 1863,"Ijebu Ode, Ogun, Nigeria"
RCCG Victory Assembly 1864,"Ogbomosho, Oyo, Nigeria"
RCCG Victory Assembly 1865,"Kubwa, FCT, Nigeria"
RCCG Grace Sanctuary 1866,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 1867,"Fagge, Kano, Nigeria"
RCCG House of Praise 1868,"Wuse, FCT, Nigeria"
RCCG Living Faith Parish 1869,"Ikorodu, Lagos, Nigeria"
RCCG New Life Parish 1870,"Warri, Delta, Nigeria"
RCCG Victory Assembly 1871,"Nsukka, Enugu, Nigeria"
RCCG City of Glory 1872,"Ikorodu, Lagos, Nigeria"
RCCG Power House Parish 1873,"Enugu, Enugu, Nigeria"
RCCG Victory Assembly 1874,"Zaria, Kaduna, Nigeria"
RCCG City of Glory 1875,"Wuse, FCT, Nigeria"
RCCG New Life Parish 1876,"Fagge, Kano, Nigeria"
RCCG Redemption Parish 1877,"Nassarawa, Kano, Nigeria"
RCCG Power House Parish 1878,"Nsukka, Enugu, Nigeria"
RCCG City of Glory 1879,"Ijebu Ode, Ogun, Nigeria"
RCCG Victory Assembly 1880,"Abuja, FCT, Nigeria"
RCCG House of Praise 1881,"Abeokuta, Ogun, Nigeria"
RCCG House of Praise 1882,"Wuse, FCT, Nigeria"
RCCG Redemption Parish 1883,"Abeokuta, Ogun, Nigeria"
RCCG New Life Parish 1884,"Nsukka, Enugu, Nigeria"
RCCG Living Faith Parish 1885,"Warri, Delta, Nigeria"
RCCG Grace Sanctuary 1886,"Maitama, FCT, Nigeria"
RCCG House of Praise 1887,"Wuse, FCT, Nigeria"
